		can	could	may	might	must	will
adventure	22.873856958478193	86.64339756999316	2.772588722239781	24.95329850015803	11.78350206951907	18.021826694558577	
editorial	55.451774444795625	25.646445680717974	33.27106466687737	16.635532333438686	22.873856958478193	112.28984325071113	
fiction	16.635532333438686	73.4736011393542	2.772588722239781	16.635532333438686	29.112181583517703	27.032740041837865	
government	47.82715545863623	20.79441541679836	79.01877858383376	4.852030263919617	40.20253647247683	70.70101241711441	
hobbies	110.2104017090313	25.646445680717974	70.70101241711441	6.931471805599453	33.96421184743732	111.5966960701512	
humor	7.6246189861593985	13.16979643063896	4.852030263919617	4.1588830833596715	4.852030263919617	2.0794415416798357	
learned	143.48146637590867	58.917510347595346	140.01573047310896	54.06548008367573	84.56395602831333	141.40202483422883	
mystery	19.408121055678468	70.70101241711441	6.931471805599453	30.498475944637594	13.862943611198906	10.39720770839918	
news	35.350506208557206	33.27106466687737	33.27106466687737	10.39720770839918	22.873856958478193	194.77435773734462	
religion	45.747713916956386	22.873856958478193	38.816242111356935	5.545177444479562	31.884770305757485	34.657359027997266	
reviews	13.862943611198906	23.56700413903814	20.79441541679836	13.16979643063896	6.931471805599453	20.79441541679836	
romance	38.12309493079699	85.95025038943322	6.238324625039508	22.18070977791825	26.33959286127792	22.873856958478193	
science_fiction	6.931471805599453	22.873856958478193	2.772588722239781	6.238324625039508	4.1588830833596715	9.010913347279288	
